employee_id,employee_key,first_name,last_name,email,phone,job_title,department,region,manager_id,hire_date,termination_date,employment_status,annual_salary_usd,commission_rate_pct,quota_usd,years_of_experience,created_at,updated_at
29,EMP-0029,James,Rivera,jeanettewatson@sanchez.net,7586837743,Senior AE,Retail,Northeast,5.0,2020-05-12,,Active,119693.4,7.3,1534264.2,3,2020-05-12,2024-09-27T21:39:11.884220
30,EMP-0030,Melissa,Torres,vthompson@berg.com,915-925-5862,Sales Manager,Sales,West,10.0,2023-10-06,,Active,115598.09,4.4,1635085.76,6,2023-10-06,2024-09-14T17:01:41.387617
31,EMP-0031,Gregory,Williams,birdjoshua@smith.com,+1-680-497-1861,Sales Manager,Inside Sales,Southeast,8.0,2017-12-17,,Active,68953.14,11.8,678374.01,9,2017-12-17,2024-03-06T04:21:00.883037
32,EMP-0032,Jeffrey,Bernard,susan45@suarez.com,001-367-557-7991,Sales Manager,Sales,International,4.0,2024-04-18,,Active,144000.53,11.2,1831053.74,5,2024-04-18,2024-10-14T09:40:31.796530
33,EMP-0033,Lauren,Walker,katherine76@ramos.com,001-411-460-8958x970,Sales Manager,Retail,Midwest,1.0,2024-04-06,,Active,73043.83,4.4,1571024.89,16,2024-04-06,2024-02-12T13:27:13.231550
34,EMP-0034,Nicholas,Boyd,gbrown@nelson.com,(689)889-9307,Sales Manager,Channel Sales,Northeast,9.0,2012-12-15,,Active,164021.5,2.5,1622029.03,3,2012-12-15,2024-11-26T07:35:37.945933
35,EMP-0035,Julie,Cross,mray@owens.com,001-760-833-8788x528,Sales Manager,Inside Sales,West,2.0,2020-09-03,,Active,104656.24,6.8,379776.64,19,2020-09-03,2024-07-06T14:03:33.715808
36,EMP-0036,Kendra,Scott,tanyamcdonald@sanchez.com,+1-907-637-9499x9445,Sales Manager,Inside Sales,Central,8.0,2011-07-07,,Active,85494.73,2.1,973560.17,4,2011-07-07,2024-11-14T06:06:44.300387
37,EMP-0037,Daniel,Mccarty,kpowell@simmons.com,534-775-9160x4359,Sales Manager,Channel Sales,International,4.0,2014-06-19,,Active,124506.57,8.3,1559977.49,1,2014-06-19,2024-12-15T11:00:17.820187
38,EMP-0038,Michelle,Yang,tburnett@burch.info,937.556.8167x84340,Sales Manager,Enterprise Sales,West,10.0,2019-03-07,,Active,81550.33,8.3,791550.92,16,2019-03-07,2024-01-21T18:50:10.231954
39,EMP-0039,Elizabeth,Drake,yowens@beard.com,700-678-8369x22338,Sales Manager,Retail,Midwest,5.0,2016-05-20,,Active,80666.99,7.3,814056.11,22,2016-05-20,2024-01-05T23:56:13.516728
40,EMP-0040,Riley,Matthews,david85@cannon.com,+1-665-232-7355x1497,Regional Director,Retail,Central,5.0,2023-01-13,,Active,129499.43,3.1,1561902.01,6,2023-01-13,2024-03-09T22:40:55.847169
41,EMP-0041,John,Olson,carterlaura@mercado-richards.com,855-670-2006x17413,Regional Director,Channel Sales,Northeast,6.0,2023-12-18,,Active,165604.57,7.1,1092418.27,6,2023-12-18,2024-04-07T03:52:45.469017
42,EMP-0042,Michael,Hill,hlloyd@rodriguez.com,+1-491-527-0650x7612,Regional Director,Sales,West,5.0,2023-06-16,,Active,57766.68,10.6,816377.1,22,2023-06-16,2024-08-28T04:11:41.068856
43,EMP-0043,Michael,Phillips,wgrant@lambert.com,(955)995-0263x560,Regional Director,Retail,Southeast,4.0,2019-02-12,,Active,150136.89,9.6,583789.61,17,2019-02-12,2024-06-27T08:20:34.081244
44,EMP-0044,Laurie,Collins,jessetaylor@hodge-lee.org,8464008236,Regional Director,Enterprise Sales,Midwest,9.0,2017-10-08,,Active,108703.21,8.8,1869592.7,7,2017-10-08,2024-12-12T23:35:05.304471
45,EMP-0045,Sarah,Smith,edwardelliott@rush-rhodes.biz,379-406-7015,Regional Director,Retail,International,3.0,2016-02-11,,Active,88708.33,3.9,913231.98,6,2016-02-11,2024-01-15T03:42:08.565921
46,EMP-0046,Melinda,King,bryantcarol@gaines.com,001-418-333-3919x296,Regional Director,Inside Sales,Central,3.0,2012-12-26,,Terminated,88966.97,7.2,1052795.36,20,2012-12-26,2024-01-01T21:28:19.687831
47,EMP-0047,Angel,Miller,samanthawilliams@hurst.com,937.474.2705x49857,Regional Director,Channel Sales,International,5.0,2014-11-11,,Terminated,75877.69,4.6,1881793.96,10,2014-11-11,2024-11-21T23:35:37.056504
48,EMP-0048,Bryan,Lee,heatherstone@burgess.com,(998)804-4665x89524,Regional Director,Enterprise Sales,Southeast,5.0,2023-06-17,,Terminated,90052.49,5.5,1541385.08,15,2023-06-17,2024-01-05T19:25:48.234004
49,EMP-0049,Lori,Short,qmercado@moore-burton.com,(957)637-8747,Regional Director,Enterprise Sales,West,10.0,2018-03-09,,Terminated,98128.2,6.2,1572000.94,13,2018-03-09,2024-01-06T03:48:06.290099
50,EMP-0050,Heidi,Obrien,dstewart@rowe-brown.biz,629-488-9728,VP of Sales,Sales,West,6.0,2010-01-19,,Terminated,132182.02,3.4,1022401.49,9,2010-01-19,2024-05-25T23:48:37.772982
