customer_id,customer_key,first_name,last_name,full_name,email,phone,address_line1,city,state,zip_code,country,customer_segment,industry,customer_status,acquisition_channel,registration_date,lifetime_value_usd,is_vip,created_at,updated_at
15,CUST-00015,Omar,Smith,Omar Smith,acastaneda@example.net,001-489-937-3467x065,806 Christopher Meadow,Port Steven,AR,34600,US,SMB,Technology,Prospect,Social Media,2020-06-18,99210.16,1,2020-08-26T23:44:50.801126,2024-03-18T11:13:26.171449
16,CUST-00016,Mark,Juarez,Mark Juarez,fking@example.com,5802531003,27193 Lyons Trafficway,Garyville,WI,21966,US,Mid-Market,Manufacturing,Active,Referral,2020-08-27,186374.75,0,2024-10-01T19:49:51.963611,2024-02-09T13:32:21.901173
17,CUST-00017,Anthony,Collins,Anthony Collins,tsanders@example.org,793-814-9190,85067 Ryan Lake Suite 262,Christinaside,WI,63873,US,Consumer,Real Estate,Inactive,Paid Search,2022-09-28,55220.53,0,2021-04-03T05:12:59.929730,2024-10-29T05:15:09.765100
18,CUST-00018,Brittany,Morris,Brittany Morris,ramirezshannon@example.com,001-596-750-7527,4948 Zachary Field Apt. 367,Lake Thomas,VT,64833,US,Consumer,Finance,Active,Organic,2019-09-20,38633.91,0,2021-02-19T12:49:10.451419,2024-01-07T07:27:53.244418
19,CUST-00019,Kelly,Sullivan,Kelly Sullivan,thomas85@example.com,001-485-557-4443x135,749 Hooper Village,West Jeremy,HI,40119,US,Consumer,Real Estate,Active,Social Media,2019-09-14,95714.01,1,2018-02-06T03:55:02.787441,2024-07-14T11:50:33.446858
20,CUST-00020,Joshua,Mccann,Joshua Mccann,danamullins@example.org,6949777520,67190 Edward Port,Christopherbury,DE,73648,US,SMB,Media,Active,Event,2021-11-15,180320.09,0,2023-05-08T22:01:07.356324,2024-08-09T21:53:39.294666
21,CUST-00021,Krystal,Perez,Krystal Perez,tkerr@example.net,(349)490-9133x41232,7974 Jesse Squares,Jacquelinemouth,CA,90597,US,SMB,Finance,Active,Social Media,2021-08-28,39960.36,0,2019-08-20T15:08:59.874290,2024-04-06T19:50:52.194436
22,CUST-00022,Kylie,Lawrence,Kylie Lawrence,ronaldstephens@example.net,(642)910-2499,4648 Kim Rapid,South Jessicaview,AK,12471,US,SMB,Media,Active,Partner,2023-08-17,228200.65,0,2019-08-09T03:08:21.688943,2024-09-03T19:02:12.686065
23,CUST-00023,Michelle,Matthews,Michelle Matthews,barbara27@example.net,+1-374-429-6717x5655,7468 Shawn Island Suite 516,Lake Mollymouth,MT,07605,US,Mid-Market,Retail,Active,Referral,2018-02-23,135075.07,0,2019-04-25T11:03:48.309501,2024-05-12T09:52:11.606838
24,CUST-00024,Katherine,Garrett,Katherine Garrett,josephanderson@example.com,371.509.3248x086,1274 Perry Orchard,Sanchezside,FL,50778,US,SMB,Logistics,Active,Organic,2023-04-27,232310.1,0,2019-05-03T04:48:09.343547,2024-08-07T08:55:58.176337
25,CUST-00025,Julie,Taylor,Julie Taylor,ymorgan@example.net,704-849-9727x875,3396 Melissa Loop Apt. 576,Mcneilberg,NM,05353,US,Mid-Market,Healthcare,Active,Partner,2018-06-28,236763.89,0,2018-11-19T16:27:04.230674,2024-12-19T07:39:57.370008
26,CUST-00026,Martin,Garcia,Martin Garcia,foxstephen@example.net,(362)717-4596,7809 Jimmy Spur Suite 316,Port Cynthiaville,NV,22306,US,Consumer,Finance,Churned,Referral,2023-11-30,32533.67,1,2022-11-09T20:48:26.389397,2024-11-26T15:40:37.059785
27,CUST-00027,Brandon,Flynn,Brandon Flynn,ryan38@example.com,001-922-421-9693,4740 Santana Springs,North Scott,MI,77515,US,Mid-Market,Manufacturing,Churned,Partner,2020-01-20,106072.92,0,2020-02-04T15:19:05.729695,2024-12-18T02:27:48.152452
28,CUST-00028,Hannah,Bryant,Hannah Bryant,gcastaneda@example.org,(995)694-4064x0909,533 Byrd Stravenue,Lake Colton,SC,85218,US,Mid-Market,Manufacturing,Inactive,Event,2020-02-12,162644.58,1,2018-04-11T18:20:18.157389,2024-10-15T15:09:16.169563
29,CUST-00029,Arthur,Diaz,Arthur Diaz,mark62@example.org,(685)788-4247,1236 Davis Locks,West Amandamouth,MN,88689,US,Consumer,Finance,Active,Referral,2018-12-02,16474.46,0,2023-03-30T11:22:04.106493,2024-04-05T22:49:32.916236
30,CUST-00030,Parker,Little,Parker Little,thomasharvey@example.net,393-517-4612x00471,7586 Nicole Shoal,Port Tracychester,KY,04789,US,Mid-Market,Real Estate,Active,Organic,2020-08-07,18212.77,0,2022-10-31T08:34:37.332950,2024-03-20T12:29:48.877380
31,CUST-00031,Sean,Young,Sean Young,amy50@example.com,531-371-3900x532,335 Kristina Ranch,West Micheleberg,DC,71308,US,Mid-Market,Finance,Active,Paid Search,2020-07-16,18178.91,0,2019-10-03T16:07:51.758724,2024-03-04T20:46:57.755992
32,CUST-00032,Donna,Johnson,Donna Johnson,briannasmith@example.com,3269811775,084 Schneider Burgs,South Melaniechester,TX,14651,US,SMB,Logistics,Active,Partner,2018-02-07,33511.81,1,2021-06-07T03:03:09.319044,2024-11-28T22:48:43.498613
33,CUST-00033,Charles,Miller,Charles Miller,martinezclaudia@example.net,+1-856-398-4789,836 Beasley Loop,Mariafurt,MT,96132,US,Mid-Market,Logistics,Inactive,Referral,2022-04-04,24034.29,1,2018-09-01T00:56:44.608288,2024-06-05T04:41:42.111587
34,CUST-00034,Elizabeth,Brooks,Elizabeth Brooks,fjones@example.org,(215)628-0988x51656,1983 Diane Fork Apt. 585,Port Joshuabury,AS,56745,US,SMB,Government,Inactive,Social Media,2019-01-26,216027.27,0,2023-12-01T05:11:53.579496,2024-12-22T16:25:02.471060
35,CUST-00035,Loretta,Austin,Loretta Austin,lynchdiane@example.net,302-444-5502x296,83667 Moore Inlet,Kimberlyshire,PA,11636,US,Enterprise,Healthcare,Inactive,Event,2022-07-01,85156.0,0,2024-03-07T19:44:34.681536,2024-02-26T22:36:49.937418
36,CUST-00036,Karen,Williams,Karen Williams,fstanley@example.net,664.238.1561x497,9003 Dougherty Trafficway,Port Jonathan,MD,16227,US,Mid-Market,Technology,Active,Partner,2018-07-28,112429.08,1,2018-01-20T18:11:00.198916,2024-09-30T09:46:19.416745
37,CUST-00037,Gregory,James,Gregory James,charles06@example.org,715.496.9664x160,516 John Radial Suite 816,Juliebury,MA,22538,US,Mid-Market,Manufacturing,Inactive,Referral,2022-12-04,218684.25,0,2018-07-15T05:24:59.514138,2024-08-19T18:14:43.708735
38,CUST-00038,Alyssa,Lee,Alyssa Lee,jessica23@example.org,(943)929-2127,527 Taylor Roads Suite 490,Williamport,NH,59734,US,Consumer,Media,Active,Organic,2023-06-08,163210.15,0,2018-04-07T02:58:43.940327,2024-05-14T22:59:27.866107
39,CUST-00039,Justin,Newman,Justin Newman,gilbertwilliam@example.com,001-480-279-3597,51820 Jasmine Mill Apt. 554,Ortizmouth,TX,78867,US,Enterprise,Technology,Active,Social Media,2024-11-03,121667.46,0,2018-05-14T20:18:37.107824,2024-08-18T21:42:27.611634
40,CUST-00040,Matthew,Rivera,Matthew Rivera,umitchell@example.net,+1-625-819-2546x291,81685 Michael Falls Apt. 573,East Eric,LA,13757,US,Consumer,Healthcare,Active,Social Media,2021-11-27,1037.77,1,2021-07-21T15:43:03.854571,2024-07-16T13:20:46.830860
41,CUST-00041,Joanna,Rose,Joanna Rose,carlamoore@example.org,001-592-570-6537x947,3597 Hammond Tunnel Suite 886,Port James,PA,18641,US,SMB,Logistics,Active,Social Media,2022-08-19,174299.58,1,2024-02-10T09:25:47.222834,2024-01-20T02:20:50.610641
42,CUST-00042,Timothy,Watson,Timothy Watson,mitchellkathryn@example.com,782.561.3750x606,53051 Moody Dam Apt. 472,Westtown,MH,10885,US,Mid-Market,Technology,Active,Referral,2024-07-16,242192.99,0,2018-02-18T13:46:27.537523,2024-03-19T22:18:40.591476
43,CUST-00043,Edward,Bentley,Edward Bentley,srodriguez@example.org,510-436-9711x7980,0953 Lopez Skyway Apt. 851,South Morganton,SC,51210,US,SMB,Healthcare,Active,Partner,2022-04-06,119458.74,0,2024-11-12T12:52:56.413210,2024-04-02T20:03:50.015635
44,CUST-00044,Allen,Kramer,Allen Kramer,ingramjill@example.com,(405)385-2772,43030 Mahoney Passage Suite 874,Port Deborahport,MI,06766,US,Enterprise,Media,Active,Referral,2020-05-31,17596.07,0,2024-01-22T23:31:46.232675,2024-05-01T11:37:35.202626
45,CUST-00045,David,Richardson,David Richardson,ykline@example.com,(877)458-4161,1154 Griffin Stravenue Suite 275,Williamsstad,RI,57509,US,Mid-Market,Government,Active,Partner,2024-03-23,61930.73,0,2019-12-03T18:19:26.430356,2024-12-24T16:33:34.633593
46,CUST-00046,Stacy,Jones,Stacy Jones,william20@example.org,+1-470-921-3556x909,7192 Sanders Run Suite 310,South April,PW,74120,US,Enterprise,Government,Prospect,Partner,2022-06-18,141524.12,0,2018-10-28T23:55:49.826568,2024-10-10T15:17:16.884026
47,CUST-00047,Jane,Lewis,Jane Lewis,igonzalez@example.org,427.715.5188x442,32370 Spencer Land,Laraside,DC,80710,US,SMB,Technology,Prospect,Event,2022-04-13,78888.87,0,2024-03-10T03:12:50.524642,2024-01-25T01:31:52.884007
48,CUST-00048,Raymond,Love,Raymond Love,khammond@example.org,(451)477-8528,018 Kevin Estates Suite 358,Meghanview,ID,83739,US,Consumer,Retail,Prospect,Event,2021-05-08,75349.27,0,2024-09-10T10:26:03.153617,2024-04-10T10:46:40.352691
49,CUST-00049,Colleen,Mendez,Colleen Mendez,brittanycarpenter@example.org,+1-299-959-0010x9439,473 Evans Cliffs Apt. 276,Marshallmouth,PA,19331,US,Enterprise,Healthcare,Inactive,Partner,2018-08-27,249614.38,0,2020-03-09T23:03:39.001694,2024-09-19T22:05:58.498179
50,CUST-00050,Jessica,Valencia,Jessica Valencia,kathleenrobertson@example.org,537-414-7321x04696,532 Ferrell Mountain Suite 470,South Williambury,IL,76961,US,Enterprise,Media,Active,Partner,2024-10-29,66667.5,0,2020-06-20T23:59:46.790895,2024-01-19T11:56:48.891305
51,CUST-00051,Troy,Khan,Troy Khan,amitchell@example.org,(624)356-5060x98358,784 David Court Suite 558,Kariborough,PA,67232,US,Enterprise,Technology,Active,Paid Search,2022-07-31,39857.83,0,2020-10-22T22:41:21.472191,2024-01-15T17:35:56.744473
52,CUST-00052,Benjamin,Reeves,Benjamin Reeves,ghernandez@example.org,695-926-9495x88879,5169 Robles Stream,New Thomasshire,OK,30325,US,Enterprise,Media,Active,Event,2023-08-17,26344.83,0,2023-01-18T21:34:06.559337,2024-08-01T13:40:06.476111
53,CUST-00053,George,Fuller,George Fuller,rhernandez@example.org,8915307562,970 April Points Suite 786,Suemouth,PW,70379,US,SMB,Finance,Active,Event,2022-05-04,138529.3,0,2020-05-24T23:42:30.861631,2024-05-09T16:03:24.869722
54,CUST-00054,Kelsey,Le,Kelsey Le,chelsea33@example.com,+1-743-644-3757,98665 Kelly Heights Apt. 574,Lewisside,KY,74165,US,SMB,Real Estate,Active,Event,2022-07-03,86048.63,0,2022-11-15T09:55:56.160763,2024-02-20T05:48:20.285897
55,CUST-00055,Christina,Matthews,Christina Matthews,danawilliams@example.com,271-320-8267x73454,026 Sarah Camp,Frenchburgh,WA,38442,US,Consumer,Manufacturing,Active,Organic,2019-09-12,158753.97,0,2024-02-19T22:55:58.413926,2024-01-04T09:24:10.108545
56,CUST-00056,Ashley,Rodriguez,Ashley Rodriguez,shawn88@example.com,(687)443-1527,549 Gregory Walks,Wilcoxhaven,MD,11869,US,Enterprise,Healthcare,Active,Referral,2024-11-17,159459.79,0,2020-10-21T12:42:52.852103,2024-02-04T21:51:45.969477
57,CUST-00057,Tina,Woods,Tina Woods,greenjoe@example.com,649-390-4530x17426,9332 Hernandez Summit Suite 687,Port John,WV,78595,US,Mid-Market,Logistics,Churned,Event,2024-07-19,107207.89,0,2024-02-10T17:35:49.300337,2024-01-30T23:08:55.579421
58,CUST-00058,Sean,Padilla,Sean Padilla,brownamy@example.net,598.922.5871,707 William Motorway,New Stevenport,VA,03354,US,Enterprise,Finance,Prospect,Referral,2018-07-19,136624.78,0,2020-10-09T01:04:39.588141,2024-10-25T19:43:30.491748
59,CUST-00059,Julie,Lane,Julie Lane,isabella80@example.org,404.762.2656x7661,86823 Katelyn Hills,Nunezside,NE,70222,US,Mid-Market,Government,Active,Organic,2018-04-26,77410.46,0,2020-08-27T10:20:08.358234,2024-03-25T01:22:08.985594
60,CUST-00060,Steven,Moore,Steven Moore,johnsondonna@example.net,001-903-531-1907x903,28439 Ray Trail,Joelberg,TN,68822,US,SMB,Technology,Prospect,Referral,2019-04-27,166899.89,0,2019-07-19T23:38:45.131717,2024-04-19T23:36:01.360099
61,CUST-00061,Bruce,Fry,Bruce Fry,conniesimmons@example.com,8564856624,34270 Faulkner Point Apt. 634,West Deborah,NV,49138,US,Consumer,Real Estate,Prospect,Referral,2024-02-27,231478.07,0,2018-08-25T08:06:41.050598,2024-09-22T04:45:07.606463
62,CUST-00062,James,Adams,James Adams,russojacob@example.net,001-583-873-5403x317,546 Ferguson Knolls,Josehaven,FM,65680,US,Mid-Market,Retail,Inactive,Organic,2022-09-18,45250.49,0,2021-04-06T02:33:12.528561,2024-10-20T19:56:28.341841
63,CUST-00063,Jennifer,Gill,Jennifer Gill,nathangutierrez@example.net,420.548.9964,69378 Scott View Suite 772,Garyside,NM,24624,US,Consumer,Technology,Active,Referral,2020-03-29,196949.94,0,2024-06-01T14:16:34.181080,2024-07-17T10:07:48.494663
64,CUST-00064,Darlene,Brown,Darlene Brown,landryelizabeth@example.org,(923)212-0387x50997,860 Alyssa Harbor,Andrechester,AS,23997,US,Consumer,Healthcare,Inactive,Referral,2018-03-28,50293.42,1,2018-10-01T12:48:56.886606,2024-02-05T06:01:16.363086
65,CUST-00065,Eduardo,Lee,Eduardo Lee,joseph61@example.com,(979)233-4101x6668,217 Newman Isle,New Samanthabury,IL,91240,US,SMB,Manufacturing,Active,Referral,2021-09-07,6404.28,0,2024-03-18T14:07:53.078606,2024-06-23T00:47:40.296034
66,CUST-00066,Brandon,Jones,Brandon Jones,whitemelissa@example.org,892.761.4293,218 Brown Mews Apt. 159,Novakmouth,AK,83616,US,Consumer,Education,Active,Organic,2024-06-23,241738.83,0,2019-11-30T14:58:23.679138,2024-12-29T06:52:27.682723
67,CUST-00067,Tracy,Kelly,Tracy Kelly,llopez@example.net,(719)343-1142x6265,47541 Christopher Meadows,Hawkinshaven,MT,14039,US,SMB,Media,Inactive,Event,2024-08-02,245296.85,0,2018-03-09T03:00:36.863250,2024-05-09T12:46:59.160147
68,CUST-00068,Christopher,George,Christopher George,asmith@example.com,001-418-339-8262x244,4647 Michael Gateway,Wheelerborough,NH,14522,US,Enterprise,Finance,Active,Referral,2020-04-09,145357.14,0,2018-12-13T07:28:10.068079,2024-01-03T11:26:40.462920
69,CUST-00069,Randall,Skinner,Randall Skinner,scott69@example.org,759-837-5265x4793,5193 Erin Plaza Apt. 737,Marieland,GU,54128,US,Enterprise,Finance,Churned,Social Media,2020-08-28,86748.93,0,2022-09-17T03:08:27.990787,2024-02-20T22:32:57.889553
70,CUST-00070,Kevin,King,Kevin King,emccormick@example.com,+1-379-368-8680x589,529 Anna Rue,Rasmussenmouth,WY,56921,US,Consumer,Real Estate,Churned,Organic,2019-01-29,96606.26,0,2018-09-28T19:03:45.265406,2024-02-06T02:09:36.038095
71,CUST-00071,Jeffrey,Burgess,Jeffrey Burgess,seanmyers@example.net,001-382-350-7146,4573 Bailey Court,Bowenmouth,MD,09305,US,SMB,Healthcare,Prospect,Social Media,2021-11-27,921.97,0,2020-02-07T11:23:59.707367,2024-10-23T12:40:23.771618
72,CUST-00072,Darin,Sweeney,Darin Sweeney,sarahyang@example.net,(482)458-6736,0937 Price Squares Apt. 341,Port Monicaburgh,MN,43228,US,SMB,Government,Active,Event,2022-07-15,230232.33,0,2019-05-19T17:19:27.604744,2024-02-11T16:58:49.665627
73,CUST-00073,Emily,Burns,Emily Burns,candice96@example.net,355-479-2499,34125 William Manor Apt. 966,South Cynthia,UT,85076,US,Enterprise,Manufacturing,Churned,Paid Search,2024-10-04,166889.78,0,2024-07-06T20:33:00.930926,2024-03-04T09:41:40.207464
74,CUST-00074,Garrett,Roberts,Garrett Roberts,wharvey@example.org,323.268.8767x6772,0438 Jackson Mount,Dunnville,OK,15470,US,Consumer,Manufacturing,Churned,Referral,2019-04-24,48364.1,1,2019-11-16T17:22:38.128073,2024-07-17T18:38:40.932619
75,CUST-00075,Vicki,Weaver,Vicki Weaver,bpayne@example.org,001-734-807-4517x133,233 Ashley Place,Candiceburgh,MD,92782,US,Mid-Market,Real Estate,Churned,Paid Search,2023-04-19,101815.75,0,2020-01-18T23:22:58.474032,2024-07-28T14:54:33.599097
76,CUST-00076,Stephanie,Robertson,Stephanie Robertson,taylorkaren@example.com,9424232536,667 Cynthia Trafficway Apt. 684,Shawnfort,MD,76779,US,SMB,Manufacturing,Active,Social Media,2024-04-19,196546.83,0,2018-01-07T07:42:32.165820,2024-10-10T08:00:15.808337
77,CUST-00077,Jessica,Simon,Jessica Simon,melissa86@example.org,(237)345-4589x29750,12770 Harris Spurs Apt. 424,Lake Michaelland,MN,87599,US,Consumer,Logistics,Inactive,Event,2021-03-17,53818.5,1,2024-04-29T02:43:25.289237,2024-03-01T13:58:20.263208
78,CUST-00078,Randy,Torres,Randy Torres,rubendavis@example.org,2372129387,62713 Davis Valley Apt. 155,Derrickberg,SD,89254,US,Mid-Market,Finance,Active,Partner,2022-11-23,166131.53,0,2019-01-01T03:10:42.714911,2024-07-13T03:59:04.924270
79,CUST-00079,Alan,Santos,Alan Santos,courtneyhernandez@example.com,+1-473-511-2196x565,138 Maxwell Spurs Apt. 438,Lake Peter,SD,07653,US,Enterprise,Technology,Prospect,Paid Search,2021-01-29,56547.85,0,2023-06-27T09:31:31.167897,2024-10-17T12:32:46.430475
80,CUST-00080,John,Cruz,John Cruz,ricetiffany@example.com,626-596-5827x10910,68486 Miles Corner,West Christopher,CO,67518,US,Mid-Market,Healthcare,Active,Referral,2019-09-09,245992.04,0,2024-06-11T21:12:52.331597,2024-12-22T14:22:07.565414
81,CUST-00081,Eric,Murphy,Eric Murphy,collinssamuel@example.org,6314617990,20275 Jackson Crossroad,Jessicaville,WI,04348,US,Consumer,Government,Prospect,Partner,2022-02-07,49011.59,1,2020-05-06T06:54:59.034026,2024-06-06T03:11:13.261636
82,CUST-00082,Alexandria,Baker,Alexandria Baker,crawfordwilliam@example.org,292.552.4191x3800,5622 Angela Station,Walkerbury,MT,94910,US,Consumer,Government,Active,Referral,2024-10-28,164186.47,0,2020-03-28T18:06:03.883497,2024-10-29T07:33:27.392160
83,CUST-00083,Ashley,Wilson,Ashley Wilson,whitelinda@example.org,(617)544-5187x0534,9738 Edward Lodge Apt. 385,West Aaronfurt,PR,97242,US,Enterprise,Government,Active,Referral,2022-09-18,201125.41,1,2023-02-02T18:16:45.677746,2024-02-08T01:05:17.469543
84,CUST-00084,Alyssa,Allen,Alyssa Allen,kaufmandouglas@example.com,303-486-5719,99062 Kelly Vista Suite 655,Nelsonland,ID,18341,US,Enterprise,Media,Active,Organic,2021-06-11,114387.23,1,2023-06-17T12:27:15.309252,2024-08-02T00:04:31.391412
85,CUST-00085,Eric,Martin,Eric Martin,wmartinez@example.org,447.341.1249x035,6804 Wilkins Extensions,South Melissaside,WA,72606,US,SMB,Logistics,Churned,Event,2021-04-06,223059.06,1,2019-10-01T14:57:34.652242,2024-06-18T02:35:16.433264
86,CUST-00086,Linda,Taylor,Linda Taylor,davidcolon@example.com,+1-219-994-1013x7215,96670 Vega Extensions,Jasonburgh,KY,37182,US,Consumer,Retail,Prospect,Social Media,2018-01-31,112792.4,0,2021-02-14T00:07:30.725718,2024-02-24T09:34:41.870136
87,CUST-00087,Christina,Jensen,Christina Jensen,jjenkins@example.com,2148626383,8759 Price Falls Apt. 593,Port Kimberlyton,AS,62325,US,SMB,Media,Inactive,Event,2022-07-13,60191.84,1,2021-09-15T05:29:40.265979,2024-10-07T15:56:29.787602
88,CUST-00088,Yvonne,Dickson,Yvonne Dickson,josephvelasquez@example.net,7397652239,599 Anna Field,Weaverburgh,NM,05476,US,Enterprise,Manufacturing,Active,Paid Search,2018-09-13,84293.96,0,2018-08-19T16:44:54.691950,2024-03-26T03:21:48.878651
89,CUST-00089,Jeffery,Fox,Jeffery Fox,lindsaypeterson@example.org,700-629-2185x15691,26752 Walker Radial Apt. 644,East Jessica,UT,75583,US,Mid-Market,Retail,Active,Social Media,2018-01-02,173640.48,0,2020-09-27T22:23:52.637702,2024-12-29T21:46:58.867429
90,CUST-00090,Tammy,Johnson,Tammy Johnson,daniellegarcia@example.com,(951)235-5215,31541 Brandon Mill Suite 267,Bellfurt,CT,63348,US,Enterprise,Government,Inactive,Paid Search,2022-03-20,135881.48,1,2023-07-09T23:51:10.012137,2024-07-30T13:38:21.956484
91,CUST-00091,Katherine,Perez,Katherine Perez,phillipslucas@example.org,952-262-1815,296 Brian Isle Apt. 368,Donnaport,IA,13072,US,Enterprise,Technology,Inactive,Social Media,2021-02-27,226257.2,0,2018-05-07T20:50:11.823916,2024-07-28T06:25:33.572001
92,CUST-00092,Mary,Hernandez,Mary Hernandez,qmiller@example.net,+1-873-910-3241x714,418 Lopez Light Suite 270,Scottview,IN,35701,US,Consumer,Logistics,Active,Paid Search,2020-07-11,75003.86,1,2021-12-13T05:08:33.680502,2024-02-25T07:31:54.638891
93,CUST-00093,Heather,Davis,Heather Davis,larellano@example.org,+1-906-686-8793,0898 David Throughway,Thompsonburgh,IL,25761,US,Consumer,Media,Prospect,Event,2022-09-04,136760.01,0,2018-11-19T12:45:14.041737,2024-06-03T22:55:30.416118
94,CUST-00094,Vanessa,Graham,Vanessa Graham,maryscott@example.net,916-286-8548,62299 Sara Port Apt. 485,Bakerfort,OK,80318,US,Consumer,Technology,Active,Social Media,2024-12-24,121667.68,1,2021-04-24T02:34:17.802619,2024-03-04T00:36:08.683663
95,CUST-00095,Richard,Montgomery,Richard Montgomery,vwilliams@example.net,607.945.0544,24754 Jacobs Corners,South Jason,GU,53869,US,SMB,Government,Prospect,Referral,2022-10-07,210206.16,0,2023-03-09T20:31:03.881816,2024-10-04T23:23:20.778963
96,CUST-00096,Michelle,Nicholson,Michelle Nicholson,cameronmckinney@example.com,(289)902-3303,3457 Reid Crossing,East Nathanmouth,HI,62705,US,Enterprise,Government,Churned,Partner,2021-08-10,165918.44,0,2022-02-09T01:34:55.053211,2024-05-08T00:17:27.513768
97,CUST-00097,Frank,Kline,Frank Kline,mitchellpaul@example.org,001-233-933-4680,290 Johnny Valley,Jenniferview,NE,49846,US,Consumer,Retail,Inactive,Referral,2023-03-30,13046.02,1,2023-12-17T15:42:07.927902,2024-06-16T23:50:18.952566
98,CUST-00098,Jeffery,Turner,Jeffery Turner,asilva@example.net,+1-658-699-4417x1545,83096 Becker Stravenue,Lake Tylerport,KS,55363,US,SMB,Technology,Inactive,Paid Search,2021-08-23,84706.39,1,2020-10-31T03:42:52.531405,2024-09-26T15:27:17.024427
99,CUST-00099,Brandy,Cooley,Brandy Cooley,jessica38@example.net,458.742.8241x7248,53465 Green Hill,Yorkfort,AR,83652,US,SMB,Government,Active,Organic,2023-09-17,117841.56,0,2022-01-31T14:48:05.304560,2024-12-11T14:44:23.436444
100,CUST-00100,Charles,Preston,Charles Preston,amoreno@example.org,(423)356-9725,2500 Hill Trace Apt. 927,East Christinachester,MO,56734,US,SMB,Technology,Prospect,Organic,2021-07-03,195417.65,0,2024-10-03T09:04:15.689772,2024-05-20T07:03:05.161499
